,Unnamed: 0,Unnamed: 0.1,time,temp,hum,co2,co,mos (soil),o2,control_sprinkler,ac_control
0,0,0,9/27/2018 2:49,30.2,71.4,440.81,1,7,23,0,1
1,1,1,9/27/2018 2:51,30.1,62.9,376.21,1,8,23,0,1
2,2,2,9/27/2018 2:51,27.8,66.4,376.21,1,8,24,0,0
3,3,3,9/27/2018 2:51,27.7,64.5,373.67,1,8,24,0,0
4,4,4,9/27/2018 2:51,27.7,64.5,373.67,1,8,24,0,0
5,5,5,9/27/2018 2:51,27.6,64.6,376.21,1,8,24,0,0
6,6,6,9/27/2018 2:51,27.5,65.0,376.21,1,8,24,0,0
7,7,7,9/27/2018 2:52,27.5,69.1,378.76,1,8,24,0,0
8,8,8,9/27/2018 2:52,27.4,65.4,376.21,1,8,23,0,0
9,9,9,9/27/2018 2:52,27.4,69.6,376.21,1,8,24,0,0
10,10,10,9/27/2018 2:52,27.4,66.6,373.67,1,8,24,0,0
11,11,11,9/27/2018 2:52,27.3,66.6,376.21,1,8,24,0,0
12,12,12,9/27/2018 2:52,27.2,65.3,376.21,1,8,24,0,0
13,13,13,9/27/2018 2:52,27.4,68.1,378.76,1,8,24,0,0
14,14,14,9/27/2018 2:52,27.0,65.7,373.67,1,8,24,0,0
15,15,15,9/27/2018 2:52,26.9,68.1,371.14,1,7,24,0,0
16,16,16,9/27/2018 2:52,26.8,66.3,373.67,1,8,24,0,0
17,17,17,9/27/2018 2:52,26.9,67.3,368.63,1,8,24,0,0
18,18,18,9/27/2018 2:52,26.6,65.9,366.13,1,8,24,0,0
19,19,19,9/27/2018 2:52,26.6,72.3,366.13,1,7,24,0,0
20,20,20,9/27/2018 2:52,26.5,69.9,368.63,1,8,24,0,0
21,21,21,9/27/2018 2:52,26.5,68.2,368.63,1,8,24,0,0
22,22,22,9/27/2018 2:52,26.5,74.6,363.64,1,8,24,0,0
23,23,23,9/27/2018 2:52,26.4,75.9,366.13,1,8,24,0,0
24,24,24,9/27/2018 2:52,26.3,72.8,358.7,1,8,24,0,0
25,25,25,9/27/2018 2:52,26.2,74.9,358.7,1,8,24,0,0
26,26,26,9/27/2018 2:52,26.2,75.5,353.8,1,8,24,0,0
27,27,27,9/27/2018 2:52,26.4,74.2,353.8,1,8,24,0,0
28,28,28,9/27/2018 2:52,26.1,74.4,356.24,1,8,24,0,0
29,29,29,9/27/2018 2:52,25.9,75.8,351.37,1,8,24,0,0
30,30,30,9/27/2018 2:52,25.9,76.8,353.8,1,8,24,0,0
31,31,31,9/27/2018 2:52,25.9,74.1,353.8,1,8,24,0,0
32,32,32,9/27/2018 2:52,25.8,73.8,356.24,1,8,24,0,0
33,33,33,9/27/2018 2:52,25.7,70.2,469.9,1,7,22,0,0
34,34,34,9/27/2018 2:52,26.1,75.8,368.63,1,7,23,0,0
35,35,35,9/28/2018 12:10,31.1,74.6,452.28,1,7,24,0,1
36,36,36,9/28/2018 12:11,31.1,74.6,455.19,1,8,24,0,1
37,37,37,9/28/2018 12:11,31.1,74.6,458.1,1,8,24,0,1
38,38,38,9/28/2018 12:11,31.1,74.5,455.19,1,8,24,0,1
39,39,39,9/28/2018 12:11,31.1,74.6,455.19,1,8,24,0,1
40,40,40,9/28/2018 12:11,31.1,74.6,455.19,1,8,24,0,1
41,41,41,9/28/2018 12:11,31.1,74.6,455.19,1,8,24,0,1
42,42,42,9/28/2018 12:11,31.1,74.6,455.19,1,8,24,0,1
43,43,43,9/28/2018 12:11,31.1,74.6,458.1,1,8,24,0,1
44,44,44,9/28/2018 12:11,31.1,74.6,458.1,1,8,24,0,1
45,45,45,9/28/2018 12:11,31.2,74.7,455.19,1,8,24,0,1
46,46,46,9/28/2018 12:12,31.1,74.6,458.1,1,8,24,0,1
47,47,47,9/28/2018 12:12,31.1,74.6,449.4,1,8,25,0,1
48,48,48,9/28/2018 12:12,31.2,74.7,446.52,1,8,25,0,1
49,49,49,9/28/2018 12:12,31.2,74.7,551.85,2,8,23,0,1
50,50,50,9/28/2018 12:12,31.2,74.9,487.99,1,9,24,0,1
51,51,51,9/28/2018 12:12,31.2,74.7,487.99,1,9,24,0,1
52,52,52,9/28/2018 12:12,31.2,74.6,478.88,1,8,24,0,1
53,53,53,9/28/2018 12:12,31.2,74.5,475.87,1,9,24,0,1
54,54,54,9/28/2018 12:12,31.1,74.1,478.88,1,8,24,0,1
55,55,55,9/28/2018 12:12,31.1,74.0,475.87,1,9,24,0,1
56,56,56,9/28/2018 12:12,31.2,74.0,478.88,1,9,24,0,1
57,57,57,9/28/2018 12:12,31.2,74.2,475.87,1,9,24,0,1
58,58,58,9/28/2018 12:14,32.6,68.3,325.4,1,69,24,0,1
59,59,59,9/28/2018 12:14,32.7,67.9,327.71,1,69,24,0,1
60,60,60,9/28/2018 12:14,32.7,67.7,330.02,1,69,24,0,1
61,61,61,9/28/2018 12:14,32.8,67.5,334.68,1,68,24,0,1
62,62,62,9/28/2018 12:14,32.8,67.3,334.68,1,68,24,0,1
63,63,63,9/28/2018 12:14,33.2,66.5,327.71,1,68,24,0,1
64,64,64,9/28/2018 12:14,33.2,66.4,325.4,1,68,24,0,1
65,65,65,9/28/2018 12:15,33.3,66.2,327.71,1,68,24,0,1
66,66,66,9/28/2018 12:15,33.3,65.9,330.02,1,68,25,0,1
67,67,67,9/28/2018 12:15,33.3,65.6,323.11,1,68,25,0,1
68,68,68,9/28/2018 12:15,33.4,65.4,330.02,1,68,25,0,1
69,69,69,9/28/2018 12:15,33.4,65.1,327.71,1,68,25,0,1
70,70,70,9/28/2018 12:15,33.5,65.1,327.71,1,68,25,0,1
71,71,71,9/28/2018 12:15,33.5,64.8,311.82,1,68,25,0,1
72,72,72,9/28/2018 12:15,33.5,64.9,318.56,1,68,25,0,1
73,73,73,9/28/2018 12:15,33.5,64.9,320.83,1,68,25,0,1
74,74,74,9/28/2018 12:15,33.6,65.2,318.56,1,68,25,0,1
75,75,75,9/28/2018 12:15,33.6,65.3,316.3,1,68,25,0,1
76,76,76,9/28/2018 12:15,33.7,65.6,318.56,1,68,25,0,1
